posting_date,job_title,job_url,primary_skill,payment_status,rating_label,client_rating,rating_details,client_spent,spent_label,client_country,payment_type,experience_level,estimated_time_label,project_duration,job_description,skill_1_highlight,skill_1,skill_2,skill_3,proposals_label,proposal_count,skill_4,skill_5,skill_2_highlight,skill_3_highlight,skill_4_highlight,skill_5_highlight,highlight_color_1,highlight_color_2,skill_6,hourly_rate,extracted_skills
yesterday,"Automation Specialist (Zapier, ChatGPT API, Claude ) for Content Distribution System",https://www.upwork.com/jobs/Automation-Specialist-Zapier-ChatGPT-API-Claude-span-class-highlight-span-for-Content-Distribution-System_~021916617367621477989/?referrer_url_path=/nx/search/jobs/,AI,Payment verified,Rating is 5.0 out of 5.,5.0,"5.00 Stars, based on 21 feedbacks",$100K+,spent,United States,Hourly: $75.00 - $100.00,Expert,Est. time:,"1 to 3 months, 30+ hrs/week","I’m looking for an experienced automation expert to help set up a scalable content distribution system across social media channels. You must be highly proficient with Zapier, APIs (Open, Anthropic Claude), and basic integrations with tools like Buffer, Google Sheets, RSS, and social platforms (Twitter, LinkedIn, Instagram).

Responsibilities:

Build Zapier workflows to automate content posting, repurposing, and tracking

Set up API integrations (ChatGPT, Claude) for content generation and formatting

Link Google Sheets / RSS / Webhooks where necessary for structured input/output

Create basic documentation so a VA can manage the system post-setup

Suggest improvements to workflow efficiency and scalability

Requirements:

Proven experience building advanced Zapier workflows (show examples)

Strong understanding of APIs (especially ChatGPT and Claude)

Experience with social media scheduling/posting tools (Buffer, Later, Hootsuite)

Ability to build simple no-code/low-code solutions

Clear communicator who can document their work for handoff to others

Bonus Skills:

Basic knowledge of content repurposing and social media growth strategies

Light technical skills (like basic scripting or Make.com familiarity)

Project Scope:

1-time project to design and build the system (~15-25 hours)

Potential for ongoing maintenance/support afterward if a good fit

When Applying, Please Answer:

What similar automation projects have you done before? (show examples)

Are you comfortable setting up API calls with no-code tools?

How would you structure a scalable system for cross-platform content distribution?",AI,Automation,API,Zapier,Proposals:,15 to 20,,,,,,,,,,87.5,"['AI', 'Zapier', 'Automation', 'API']"
yesterday,SQL tool for WWW research,https://www.upwork.com/jobs/span-class-highlight-span-SQL-tool-for-WWW-research_~021916578064377009036/?referrer_url_path=/nx/search/jobs/,AI,Payment verified,Rating is 5.0 out of 5.,5.0,"5.00 Stars, based on 3 feedbacks",$4K+,spent,United States,Hourly,Expert,Est. time:,"1 to 3 months, Less than 30 hrs/week","Thirty-Thousand.org, a small nonpartisan & nonprofit organization, seeks someone to create, refine and maintain a SQL query to regularly search for news or content directly related to our area of focus. Such queries would use API access and run automatically on a regular basis (daily or weekly) and utilize  resources such as Grok3. The queries would use JSON or a similar format to define the query, specifying keywords, time range (e.g., last 24 hours), and content types (e.g., news, social media). The purpose is to discover any supportive information as well as identify interesting content for posting on social media.  Please ask questions if that doesn’t make sense. This is probably a small project with no urgent deadline.  Relevant prior experience preferred.  (Prefer US based consultant due to the nature of the subject matter.)",AI,Data Analysis,Python,,Proposals:,15 to 20,,,,,,,,,,,"['AI', 'Python', 'Data Analysis']"
yesterday,"AWS Expert Needed to Deploy a RAG Chatbot (Bedrock, OpenSearch, Lambda)",https://www.upwork.com/jobs/AWS-Expert-Needed-Deploy-RAG-Chatbot-Bedrock-OpenSearch-Lambda_~021916474878795263856/?referrer_url_path=/nx/search/jobs/,,Payment verified,Rating is 4.9 out of 5.,4.9,"4.93 Stars, based on 41 feedbacks",$30K+,spent,United States,Hourly: $70.00 - $85.00,Expert,Est. time:,"Less than 1 month, Less than 30 hrs/week","We are looking for an experienced AWS solutions engineer to help us deploy a Retrieval-Augmented Generation (RAG) chatbot inside our AWS environment.
The chatbot is fully specced out and has a complete starter codebase — we now need help setting it up and operationalizing it on AWS.

The chatbot is similar in behavior to a Custom GPT we've already built (Heather.) and is based on:

-3 large PDFs (~100-300 pages each)
~500,000 text message conversations
-A friendly, supportive, and expert nutrition tone

Scope of Work:

1. Set up Amazon OpenSearch with Vector Search enabled
-Create index, mappings (knn_vector), and configure secure access

2. Set up Amazon Bedrock
-Provision model access (Anthropic Claude, Amazon Titan, or Mistral)

3. Deploy AWS Lambda
-Configure environment variables
-Deploy provided Python backend (Lambda function + helper files)

4. Set up Amazon API Gateway
-Create an HTTP API endpoint for the chatbot
-Connect it to Lambda
-Enable CORS

5. Set up IAM Roles and Permissions
-Lambda permissions to Bedrock and OpenSearch

6. Assist with embedding the knowledge base
-(optional) Help run scripts to generate embeddings and upload to OpenSearch

7. Ensure everything is working end-to-end:
-User sends query → system retrieves relevant data → Bedrock generates friendly reply → returns to user

Deliverables:

1. Working RAG chatbot API endpoint on AWS
2. Tested embedding + retrieval pipeline
3. Deployment instructions (short notes)
4. (Optional) Minor updates to the Lambda if needed based on testing

Ideal Candidate:
-Deep experience with AWS OpenSearch, Bedrock, Lambda, API Gateway
-Familiar with vector search, embeddings, LLM orchestration
-Strong Python skills (Lambda functions)
-Comfortable setting up secure AWS environments
-Good communicator who can move quickly and independently

Other Details:

-We have a fully organized project folder ready (.zip with backend/scripts/data)
-We anticipate this project can be completed within 10-20 hours
-Future work may be available (adding user accounts, scaling chatbot, building front-end)

When applying, please briefly answer:

What is your experience setting up OpenSearch Vector Search and Bedrock on AWS?

Have you built any RAG (Retrieval-Augmented Generation) chatbots before?

What is your availability over the next 1-2 weeks?",ai,Amazon Web Services,AWS Lambda,Python,Proposals:,5 to 10,Amazon Bedrock,Retrieval Augmented Generation,,,,,,,,77.5,"['Python', 'Amazon Web Services', 'AWS Lambda', 'Amazon Bedrock', 'Retrieval Augmented Generation']"
yesterday,"Full End-to-End  Virtual Presence System: Voice Clone, Deepfake Avatar, OBS Setup, and Remote work",https://www.upwork.com/jobs/Full-End-End-span-class-highlight-span-Virtual-Presence-System-Voice-Clone-Deepfake-Avatar-OBS-Setup-and-Remote-work_~021916370558023320270/?referrer_url_path=/nx/search/jobs/,AI,Payment verified,Rating is 4.5 out of 5.,4.5,"4.45 Stars, based on 12 feedbacks",$10K+,spent,United States,Hourly,Expert,Est. time:,"Less than 1 month, Less than 30 hrs/week","Project Overview:

I’m building a full virtual remote work system where I can:
	•	Appear on Zoom, Teams, and Slack calls as myself (using an -generated deepfake avatar).
	•	Speak in my own voice (using  voice cloning).
	•	Share my “work desktop” (even if using a restricted work laptop) through a masked virtual environment.
	•	Operate through OBS Studio (or better tool) to route all video and audio output seamlessly.

I have multiple remote jobs, and I need this setup so assistants can operate as me, fully automated without suspicion.

Goal:
Make it so my assistants appear exactly like me on video and voice, and share screen safely through a remote setup. No company should notice anything different.

⸻

Scope of Work:

1.  Voice Cloning:
	•	Clone my real voice perfectly.
	•	Allow assistants to input text and output speech in real-time for calls.
	•	Must sound completely human, natural, confident.

2. Deepfake Avatar Video Creation:
	•	Create a professional, realistic video avatar of me.
	•	Must lip-sync perfectly to the voice audio in real-time.
	•	Avatar must be usable inside Zoom, Teams, and Slack.

3. OBS Studio (or similar) Configuration:
	•	Set up a virtual camera and virtual microphone that routes the avatar and cloned voice into conferencing software.
	•	Must be seamless and natural.

4. Remote Desktop Masking / Virtual Workstation Setup:
	•	Set up a virtual desktop environment that assistants can remotely access.
	•	The desktop must allow screen sharing and “look real” like a normal user workstation.
	•	Must bypass the fact that company work laptops are restricted.

5. Integration:
	•	Ensure all systems work together smoothly.
	•	One assistant can log in, operate everything, and companies cannot detect anything odd.

⸻

Timeline:

	•	I need this fully built in 1–2 weeks.
	•	Must be able to move fast and collaborate with others if needed.

⸻

Ideal Freelancers:

	•	 Voice Cloning Specialists
	•	Deepfake/ Video Experts
	•	OBS Virtual Camera Specialists
	•	Remote Desktop Setup Professionals
	•	Security-Aware Developers who understand stealth work environments

⸻

Important:

I am open to hiring multiple experts if needed — but you must be willing to collaborate with each other to deliver the final working solution.

This is a serious opportunity for the right experts to work on a high-impact project.

⸻

To Apply:

When you apply, please answer:
	1.	Which part of this project you can deliver (voice, deepfake, OBS, remote desktop)?
	2.	Links to any past related work (portfolios, demos, case studies).
	3.	Estimated timeline for your portion.
	4.	Your proposed rate.",AI,ElevenLabs,Murf,Uberduck,Proposals:,5 to 10,,,AI,AI,AI,AI,AI Text-to-Speech,AI-Generated Voice-Over,+2,,"['ElevenLabs', 'Murf', '+2', 'AI', 'Uberduck']"
2 days ago,backend developer | bolt  | full stack developer,https://www.upwork.com/jobs/span-class-highlight-span-backend-developer-bolt-span-class-highlight-span-full-stack-developer_~021916175796218441584/?referrer_url_path=/nx/search/jobs/,AI,Payment verified,Rating is 5.0 out of 5.,5.0,"5.00 Star, based on 1 feedbacks",$1K+,spent,United States,Hourly,Intermediate,Est. time:,"Less than 1 month, Less than 30 hrs/week",I’m looking for a backend  developer who can make my bolt. web app fully functional. I have the webapp already made but it is not functional so I need someone who can input the  I want to make it functional.,AI,Back-End Development,,,Proposals:,10 to 15,,,ai,AI,,,,,,,"['Back-End Development', 'AI']"
2 days ago,Build Power Automate + Open Workflow to Convert Affiliate Emails into Radio-Ready Scripts,https://www.upwork.com/jobs/Build-Power-Automate-Open-span-class-highlight-span-Workflow-Convert-Affiliate-Emails-into-Radio-Ready-Scripts_~021916176876454511874/?referrer_url_path=/nx/search/jobs/,AI,Payment unverified,Rating is 0 out of 5.,0.0,No feedback yet,$0,spent,United States,Fixed price,Expert,Est. budget:,$750.00,"I'm working with 20+ affiliate radio stations who each send me weekly email updates. I need a fully automated system that: Will look at the emails, pull station ID, Slogan, and update info from the emails. Rewrite the updates into short ready-to-read scripts and assign and increment am ID #to each update. Once a week or on demand, pull al the updates into a single studio ready doc that's ready to record.

💼 What I Need Built:
Email Parsing

Monitor a dedicated Outlook inbox or folder

Extract affiliate update content from the body of incoming emails

Support multiple updates in a single email (parse and handle each one separately)

Affiliate Lookup & Logic

Use sender email address to look up:

Call Letters

Station Slogan

Last used Item Number

Stored in an Excel file hosted on OneDrive

Auto-Increment & Update Tracking

Auto-increment the item number per affiliate

If 3 updates come in a single email, assign them item numbers sequentially

 Text Rewrite

Feed each update (along with the call letters, slogan, and item number) into Open (ChatGPT or Azure Open)

 rewrites the update into a professional, 15-second radio-ready script using a prompt I’ll provide

Formatted Output

Append the finished, -polished scripts into a Microsoft Word document for the week

Format:

arduino
Copy
Item 035  
KXYZ – Denver’s Rock Station  
[Rewritten script text]
Data Update

Update the Excel file to reflect the new item number after processing each update

✅ Additional Notes:
Emails will come in a semi-consistent format (we’ll guide affiliates).

I have a clear prompt, Excel structure, and flow design.

Bonus if you can build in light error handling (e.g., malformed emails).",AI,Microsoft Power Automate,,,Proposals:,5 to 10,,,AI,AI,AI,AI,OpenAI API,,,,"['AI', 'Microsoft Power Automate']"
2 days ago,Development for Sports Connection Platform,https://www.upwork.com/jobs/span-class-highlight-span-Development-for-Sports-Connection-Platform_~021916071793668346764/?referrer_url_path=/nx/search/jobs/,AI,Payment verified,Rating is 0 out of 5.,0.0,No feedback yet,$0,spent,United States,Fixed price,Intermediate,Est. budget:,"$10,000.00","Project Title: -Driven Sports Mentorship Platform​
Overview: We are developing an innovative platform that leverages   to provide personalized mentorship and performance tracking for youth athletes. The system aims to connect athletes, trainers, and parents through a cohesive digital ecosystem, enhancing athletic development and engagement.​
Key Objectives:
Develop a custom  engine capable of delivering tailored training programs and feedback.
Create a responsive web and mobile application for user interaction.
Implement secure data management practices to protect user information.​
Responsibilities:
Design and train machine learning models for performance analysis.
Develop intuitive user interfaces for web and mobile platforms.
Integrate  functionalities seamlessly into the application.
Ensure compliance with data privacy regulations.​
Gist, Stack Overflow, GitHub, React, Javascript, .css, Tailwind, Typescript, Firebase, Cloud Functions, Render, Custom Search and Match Engine  Model, Full DeepSeek 685B Parameter Model - or Required Skills:
Proficiency in Python and experience with ML frameworks like TensorFlow or PyTorch.
Experience in developing web applications using React or Angular.
Knowledge of mobile app development using Flutter or React Native.
Familiarity with cloud services such as AWS or Google Cloud.
Experience with version control systems like Git and platforms like GitHub.
Understanding of CI/CD pipelines and deployment using Firebase Hosting.​
 Engagement Terms: This is a part-time opportunity with compensation structured as a combination of limited cash and equity ownership. Ideal for professionals passionate about sports and  innovation.​
Application Process: Interested candidates should provide a portfolio of relevant projects and a brief proposal outlining their approach to developing the  components of the platform.​",AI,Python,API,JavaScript,Proposals:,15 to 20,Web Development,,artificial,intelligence,AI,AI,Artificial Intelligence,,,,"['Python', 'JavaScript', 'Web Development', 'AI', 'API']"
3 days ago,Trading Automation System Development,https://www.upwork.com/jobs/span-class-highlight-span-Trading-Automation-System-Development_~021915839010232550094/?referrer_url_path=/nx/search/jobs/,AI,Payment verified,Rating is 4.1 out of 5.,4.1,"4.11 Stars, based on 2 feedbacks",$700,spent,United States,Fixed price,Expert,Est. budget:,"$3,800.00","Trading Automation System (Python, Schwab API, Options Trading)

We're a nonprofit organization with a funded Schwab account, looking to build a custom -powered trading automation system that integrates with Schwab API (formerly TD Ameritrade) and leverages ThinkOrSwim (TOS) for monitoring.

🧠 Our Strategy:
Trade SPY and value stocks with large daily ranges.
Use ODE-style entry logic around support, resistance, and Anchored VWAP.
Trade options strategies (vertical spreads, straddles, etc.) in real time.
Deploy  decision engine to backtest, trade, and adapt intelligently.
💻 Your Role:
We need you to help design, develop, and deploy a Python-based system that:

Connects to Schwab API (OAuth2, accounts, equities + options order routing).
Implements live trade engine with scheduling and risk controls.
Pulls real-time and historical data (Schwab API + external sources like Polygon).
Computes AVWAP, support/resistance zones.
Backtests strategies using backtrader or vectorbt.
Integrates lightweight  model for trade decisions.
(Optional but ideal) Provides GUI for manual overrides or trade visualization.
Handles options multi-leg strategies and expiration logic.
✅ Requirements:
Proven experience with algo trading bots in Python.
Strong knowledge of broker APIs (Schwab, TD, Alpaca, IBKR, etc.).
Familiar with OAuth2 token refresh, scheduling, and secure credential handling.
Understanding of options trading strategies and real-time data structures.
Experience with /ML models (XGBoost, RL, etc.).
Prefer experience with backtesting libraries (backtrader, vectorbt).
🔐 Bonus:
Know AVWAP, RSI, Bollinger, or support/resistance logic.
Experience with FastAPI, Flask, or dashboard frameworks (Plotly Dash).
Familiar with ThinkOrSwim alerts or scripting.
📍Logistics:
Remote, flexible work hours.
Budget available for MVP + ongoing extensions.
This is mission-driven — we're funding innovation within a nonprofit research setup.
To Apply:
Please share:

Examples of algo trading systems you've built.
Brokerages/APIs you've worked with.
Your GitHub (if available).
Your rate and availability.",AI,API,Python,,Proposals:,20 to 50,,,AI,AI,AI,AI,Artificial Intelligence,,,,"['AI', 'Python', 'API']"
3 days ago,Remote Debug & Optimization N8N + Vector,https://www.upwork.com/jobs/Remote-Debug-Optimization-N8N-Vector_~021915820368578780605/?referrer_url_path=/nx/search/jobs/,,Payment verified,Rating is 5.0 out of 5.,5.0,"5.00 Stars, based on 3 feedbacks",$1K+,spent,Canada,Hourly: $85.00 - $125.00,Expert,Est. time:,"Less than 1 month, Less than 30 hrs/week","Freelance / Contract | Remote | Start ASAP

Sunday Market Media is seeking a sharp  workflow engineer or LLM modeling expert with strong n8n experience to help us debug, optimize, and scale our vector-enhanced automation flows.

We run a self-hosted n8n instance integrated with:
	•	PGVector (PostgreSQL vector storage)
	•	LLMs (Open + Local models like Mistral)
	•	Dynamic embeddings + RAG querying
	•	Internal business knowledge base enrichment

🔧 Responsibilities
	•	Debug and optimize n8n workflows involving  agents and vector memory
	•	Improve semantic search / term lookups via PGVector
	•	Ensure accurate and performant LLM responses across time-aware flows
	•	Help configure system prompts, embeddings, and metadata mapping

✅ Requirements
	•	Solid understanding of LLMs, embeddings, and retrieval workflows
	•	Experience with n8n, including Function nodes, HTTP/ Agents, and Postgres integrations
	•	Proficiency with PGVector and managing vector data
	•	Comfortable with prompt engineering and  response debugging

💡 Bonus Points
	•	Experience fine-tuning or self-hosting models (Mistral, GPT-J, etc.)
	•	Familiarity with embedding APIs (Open, Hugging Face)
	•	Knowledge of vector hygiene, dimensionality mismatches, and memory management",AI,Ubuntu,macOS,JavaScript,Proposals:,15 to 20,Python,Linux,AI,AI,AI,AI,AI Agent Development,,,105.0,"['Python', 'Ubuntu', 'Linux', 'JavaScript', 'macOS']"
3 days ago,"Job Opportunity: IT /  Developer & Software Lead (Full-Time, Build + Grow with Us)",https://www.upwork.com/jobs/Job-Opportunity-span-class-highlight-span-Developer-amp-Software-Lead-Full-Time-Build-Grow-with_~021915782381408429025/?referrer_url_path=/nx/search/jobs/,AI,Payment verified,Rating is 5.0 out of 5.,5.0,"5.00 Star, based on 1 feedbacks",$600+,spent,USA,Hourly: $70.00 - $85.00,Expert,Est. time:,"More than 6 months, 30+ hrs/week","We are seeking a dedicated, experienced IT/ Developer who can design, build, oversee, and continuously improve our custom healthcare software platform. You’ll work directly with the executive team to bring a bold vision to life.

You must be motivated, independent, hungry to succeed, and willing to own your role in a fast-paced startup environment. The right person will have the opportunity for long-term leadership, growth, and major financial rewards as we scale. Key Responsibilities

Architect, design, and build a secure, scalable, HIPAA-compliant software platform.

Oversee day-to-day functionality, performance, and security of the system.
Develop and manage integrations with  models, third-party APIs, and external platforms.

Implement best practices for software development, testing, compliance, and version control.
Identify and troubleshoot issues quickly, keeping downtime to an absolute minimum.

Stay proactive about upgrades, new tools,  enhancements, and evolving needs.
Manage potential future developers or tech contractors as the company grows.

Communicate regularly with leadership — providing updates, insights, and strategic suggestions.
What We're Looking For

3+ years professional experience in software development, IT infrastructure, and/or  integration.
Strong knowledge of modern programming languages (Python, JavaScript, Node.js, SQL, etc.)
Hands-on experience with  frameworks (TensorFlow, PyTorch, Open, etc.) preferred.

Solid understanding of cloud computing (AWS, Azure, or GCP) and scalable backend systems.
Commitment to HIPAA compliance and healthcare tech security standards.

Problem-solving mindset with a ""find a way"" attitude — not someone who needs to be micromanaged.
Excellent organization, communication, and time management skills.
Entrepreneurial spirit — you’re excited to build and scale something from the ground up.

Bonus Skills (Not Required but Highly Valued)

Experience in healthcare SaaS, compliance platforms, or telemedicine solutions.
Project management skills or formal Agile/Scrum experience.
UI/UX development experience.
Startup, early-stage tech, or SaaS background.",AI,Google Analytics,JavaScript,,Proposals:,20 to 50,,,AI,AI,AI,AI,AI Agent Development,AI Development,+4,77.5,"['Google Analytics', 'AI', '+4', 'JavaScript']"
